Tipo de residuo;Comunidades autónomas;periodo;Total
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Extremadura;2012;5.628
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Extremadura;2011;6.465
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Extremadura;2010;16.706
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Galicia;2018;13.508
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Galicia;2017;12.507
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Galicia;2016;12.217
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Galicia;2015;14.872
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Galicia;2014;14.984
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Galicia;2013;8.990
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Galicia;2012;9.232
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Galicia;2011;21.650
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Galicia;2010;23.130
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Madrid, Comunidad de;2018;27.001
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Madrid, Comunidad de;2017;44.938
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Madrid, Comunidad de;2016;59.683
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Madrid, Comunidad de;2015;50.243
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Madrid, Comunidad de;2014;51.997
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Madrid, Comunidad de;2013;51.035
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Madrid, Comunidad de;2012;51.972
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Madrid, Comunidad de;2011;30.682
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Madrid, Comunidad de;2010;66.879
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Murcia, Región de;2018;7.768
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Murcia, Región de;2017;13.814
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Murcia, Región de;2016;10.283
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Murcia, Región de;2015;11.306
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Murcia, Región de;2014;11.546
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Murcia, Región de;2013;3.814
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Murcia, Región de;2012;3.488
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Murcia, Región de;2011;1.694
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Murcia, Región de;2010;15.924
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Navarra, Comunidad Foral de;2018;20.058
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Navarra, Comunidad Foral de;2017;16.568
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Navarra, Comunidad Foral de;2016;12.147
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Navarra, Comunidad Foral de;2015;2.865
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Navarra, Comunidad Foral de;2014;2.950
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Navarra, Comunidad Foral de;2013;9.686
